program,program_name,program_order,Patient,CellType,n_cells,mean_raw_ucell,median_raw_ucell
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL008","T cells CD4",437,0.250073180843718,0.239136409442086
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL008","T cells CD8",1605,0.557091615345707,0.576068036766727
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL008","TFH",0,NA,NA
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL008","Tregs",150,0.260321963335064,0.253496503496504
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","B cells",496,0.0366263851305758,0.0347894463614988
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","Monocytes and Macrophages",46,0.0345876356413664,0.0334916175527529
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","NK cells",122,0.328016782415809,0.327633065624332
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","Others",41,0.116848164084291,0.083549638134791
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","Plasma cells",0,NA,NA
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","T cells CD4",966,0.2506481241055,0.250236662900418
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","T cells CD8",2399,0.426491616547153,0.42921488991358
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","TFH",72,0.348088077618645,0.347734143585672
"t_cell_inflamed","T cell-inflamed program",2,"DLBCL111","Tregs",258,0.262887209266817,0.263963111124683
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","B cells",1651,0.401663214760478,0.395578220905732
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","Monocytes and Macrophages",214,0.657092438231483,0.654128622469234
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","NK cells",69,0.419450747341387,0.405502794149082
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","Others",0,NA,NA
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","Plasma cells",65,0.507456701847028,0.562891257214401
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","T cells CD4",1720,0.301789929629628,0.297508168687208
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","T cells CD8",1177,0.369412334242244,0.34540568601704
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","TFH",209,0.376640513328004,0.367422970043057
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL002","Tregs",429,0.397605275395607,0.393959752038355
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","B cells",827,0.477838412254384,0.484639814334138
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","Monocytes and Macrophages",15,0.676030374283649,0.681467004611109
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","NK cells",5,0.377338382141876,0.364812043851345
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","Others",5,0.623028063639417,0.618606284545149
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","Plasma cells",0,NA,NA
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","T cells CD4",131,0.30945099102371,0.301752832320518
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","T cells CD8",302,0.410558866218371,0.405395914129539
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","TFH",14,0.455471384510686,0.463004244663633
